species			H	O	C	He	N	S	P	Na	K	Si	Fe  Ar 	mass      
H				1	0	0	0	0	0	0	0	0	0	0	0   1.008
H2				2	0	0	0	0	0	0	0	0	0	0	0   2.016
OH				1	1	0	0	0	0	0	0	0	0	0	0	17.008
H2O				2	1	0	0	0	0	0	0	0	0	0	0	18.016
O				0	1	0	0	0	0	0	0	0	0	0	0	16.0
O_1				0	1	0	0	0	0	0	0	0	0	0	0	16.0
O2				0	2	0	0	0	0	0	0	0	0	0	0	32.0
O3				0	3	0	0	0	0	0	0	0	0	0	0	48.0
HO2				1	2	0	0	0	0	0	0	0	0	0	0	33.008
H2O2			2	2	0	0	0	0	0	0	0	0	0	0	34.016
CH				1	0	1	0	0	0	0	0	0	0	0	0	13.019
CH2				2	0	1	0	0	0	0	0	0	0	0	0	14.027
CH2_1			2	0	1	0	0	0	0	0	0	0	0	0	14.027
CH3				3	0	1	0	0	0	0	0	0	0	0	0	15.035
CH4				4	0	1	0	0	0	0	0	0	0	0	0	16.043
C2H				1	0	2	0	0	0	0	0	0	0	0	0	25.03
C2H2			2	0	2	0	0	0	0	0	0	0	0	0	26.038
C2H3			3	0	2	0	0	0	0	0	0	0	0	0	27.046
C2H4			4	0	2	0	0	0	0	0	0	0	0	0	28.054
C2H5			5	0	2	0	0	0	0	0	0	0	0	0	29.062
C2H6			6	0	2	0	0	0	0	0	0	0	0	0	30.07
C4H2			2	0	4	0	0	0	0	0	0	0	0	0	50.06
CO				0	1	1	0	0	0	0	0	0	0	0	0	28.011
CO2				0	2	1	0	0	0	0	0	0	0	0	0	44.011
HCO				1	1	1	0	0	0	0	0	0	0	0	0	29.019
H2CO			2	1	1	0	0	0	0	0	0	0	0	0	30.027
CH2OH			3	1	1	0	0	0	0	0	0	0	0	0	31.035
CH3OH			4	1	1	0	0	0	0	0	0	0	0	0	32.043
CH3CO			3	1	2	0	0	0	0	0	0	0	0	0	43.046
HCCO			1	1	2	0	0	0	0	0	0	0	0	0	41.03
H2CCO			2	1	2	0	0	0	0	0	0	0	0	0	42.038
C				0	0	1	0	0	0	0	0	0	0	0	0	12.011
C2				0	0	2	0	0	0	0	0	0	0	0	0	24.022
CH3O			3	1	1	0	0	0	0	0	0	0	0	0	31.035
N				0	0	0	0	1	0	0	0	0	0	0	0	14.007
N_2D			0	0	0	0	1	0	0	0	0	0	0	0	14.007
N2				0	0	0	0	2	0	0	0	0	0	0	0	28.014
NH				1	0	0	0	1	0	0	0	0	0	0	0	15.015
NH2				2	0	0	0	1	0	0	0	0	0	0	0	16.023
NH3				3	0	0	0	1	0	0	0	0	0	0	0	17.031
NO				0	1	0	0	1	0	0	0	0	0	0	0	30.007
NO2				0	2	0	0	1	0	0	0	0	0	0	0	46.007
CN				0	0	1	0	1	0	0	0	0	0	0	0	26.018
HCN				1	0	1	0	1	0	0	0	0	0	0	0	27.026
He				0	0	0	1	0	0	0	0	0	0	0	0	4.003
N2H2			2	0	0	0	2	0	0	0	0	0	0	0	30.03
N2H				1	0	0	0	2	0	0	0	0	0	0	0	29.022
